Country_Name,independence,united_nation_members,start_of_week,official_name,common_native_name,currency_code,currency_name,currency_symbol,country_code,capital,region,subregion,languages,area,population,continents,country_name
Gibraltar,False,False,monday,Gibraltar,Gibraltar,GIP,Gibraltar pound,£,++350,Gibraltar,Europe,Southern Europe,['English'],6.0,33691,['Europe'],Gibraltar
Cameroon,True,True,monday,Republic of Cameroon,Cameroon,XAF,Central African CFA franc,Fr,++237,Yaoundé,Africa,Middle Africa,"['English', 'French']",475442.0,26545864,['Africa'],Cameroon
Vanuatu,True,True,monday,Republic of Vanuatu,Vanuatu,VUV,Vanuatu vatu,Vt,++678,Port Vila,Oceania,Melanesia,"['Bislama', 'English', 'French']",12189.0,307150,['Oceania'],Vanuatu
"Saint Helena, Ascension and Tristan da Cunha",False,False,monday,"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",GBP,Pound sterling,£,++290,Jamestown,Africa,Western Africa,['English'],394.0,53192,['Africa'],"Saint Helena, Ascension and Tristan da Cunha"
British Virgin Islands,False,False,monday,Virgin Islands,British Virgin Islands,USD,United States dollar,$,++1284,Road Town,Americas,Caribbean,['English'],151.0,30237,['North America'],British Virgin Islands
Kenya,True,True,monday,Republic of Kenya,Kenya,KES,Kenyan shilling,Sh,++254,Nairobi,Africa,Eastern Africa,"['English', 'Swahili']",580367.0,53771300,['Africa'],Kenya
Niue,False,False,monday,Niue,Niue,NZD,New Zealand dollar,$,++683,Alofi,Oceania,Polynesia,"['English', 'Niuean']",260.0,1470,['Oceania'],Niue
Rwanda,True,True,monday,Republic of Rwanda,Rwanda,RWF,Rwandan franc,Fr,++250,Kigali,Africa,Eastern Africa,"['English', 'French', 'Kinyarwanda']",26338.0,12952209,['Africa'],Rwanda
Trinidad and Tobago,True,True,monday,Republic of Trinidad and Tobago,Trinidad and Tobago,TTD,Trinidad and Tobago dollar,$,++1868,Port of Spain,Americas,Caribbean,['English'],5130.0,1399491,['North America'],Trinidad and Tobago
Guyana,True,True,monday,Co-operative Republic of Guyana,Guyana,GYD,Guyanese dollar,$,++592,Georgetown,Americas,South America,['English'],214969.0,786559,['South America'],Guyana
Hong Kong,False,False,monday,Hong Kong Special Administrative Region of the People's Republic of China,Hong Kong,HKD,Hong Kong dollar,$,++852,City of Victoria,Asia,Eastern Asia,"['English', 'Chinese']",1104.0,7500700,['Asia'],Hong Kong
Antigua and Barbuda,True,True,monday,Antigua and Barbuda,Antigua and Barbuda,XCD,Eastern Caribbean dollar,$,++1268,Saint John's,Americas,Caribbean,['English'],442.0,97928,['North America'],Antigua and Barbuda
Micronesia,True,True,monday,Federated States of Micronesia,Micronesia,USD,United States dollar,$,++691,Palikir,Oceania,Micronesia,['English'],702.0,115021,['Oceania'],Micronesia
Ireland,True,True,monday,Republic of Ireland,Ireland,EUR,Euro,€,++353,Dublin,Europe,Northern Europe,"['English', 'Irish']",70273.0,4994724,['Europe'],Ireland
Curaçao,False,False,monday,Country of Curaçao,Curaçao,ANG,Netherlands Antillean guilder,ƒ,++599,Willemstad,Americas,Caribbean,"['English', 'Dutch', 'Papiamento']",444.0,155014,['North America'],Curaçao
Eritrea,True,True,monday,State of Eritrea,Eritrea,ERN,Eritrean nakfa,Nfk,++291,Asmara,Africa,Eastern Africa,"['Arabic', 'English', 'Tigrinya']",117600.0,5352000,['Africa'],Eritrea
Tanzania,True,True,monday,United Republic of Tanzania,Tanzania,TZS,Tanzanian shilling,Sh,++255,Dodoma,Africa,Eastern Africa,"['English', 'Swahili']",945087.0,59734213,['Africa'],Tanzania
United States Minor Outlying Islands,False,False,monday,United States Minor Outlying Islands,United States Minor Outlying Islands,USD,United States dollar,$,++268,Washington DC,Americas,North America,['English'],34.2,300,['Oceania'],United States Minor Outlying Islands
Falkland Islands,False,False,monday,Falkland Islands,Falkland Islands,FKP,Falkland Islands pound,£,++500,Stanley,Americas,South America,['English'],12173.0,2563,['South America'],Falkland Islands
Samoa,True,True,monday,Independent State of Samoa,Samoa,WST,Samoan tālā,T,++685,Apia,Oceania,Polynesia,"['English', 'Samoan']",2842.0,198410,['Oceania'],Samoa
Jersey,False,False,monday,Bailiwick of Jersey,Jersey,GBP,British pound,£,++44,Saint Helier,Europe,Northern Europe,"['English', 'French', 'Jèrriais']",116.0,100800,['Europe'],Jersey
United States,True,True,sunday,United States of America,United States,USD,United States dollar,$,++1201,"Washington, D.C.",Americas,North America,['English'],9372610.0,329484123,['North America'],United States
